CODIGO_ACTIVIDAD,ANIO,MES,ENTIDAD,K100W,M000W,H000W_I000W,REMUNERACION_MEDIA,J000W,ESTATUS
43,2008,	01,Aguascalientes,74.24589269,78.02930411,96.96965873,91.29534290,88.52878245,Cifras definitivas
43,2008,	01,Baja California,100.17449822,103.94468341,83.48734888,97.78711941,81.63987354,Cifras definitivas
43,2008,	01,Baja California Sur,87.45339429,96.04017183,80.93298559,116.50290225,94.28927709,Cifras definitivas
43,2008,	01,Campeche,88.23976327,81.44948666,91.83908947,66.60878696,61.17290345,Cifras definitivas
43,2008,	01,Coahuila de Zaragoza,107.50154296,95.40715495,90.02785482,96.76853171,87.11863324,Cifras definitivas
43,2008,	01,Colima,74.15688378,84.85550985,74.65556357,104.07203429,77.69556372,Cifras definitivas
43,2008,	01,Chiapas,86.55837932,83.14928099,76.39301655,91.35242500,69.78687315,Cifras definitivas
43,2008,	01,Chihuahua,99.47293261,92.83287244,84.53315543,98.15078648,82.96995689,Cifras definitivas
43,2008,	01,Ciudad de México,90.37882995,92.66595230,77.71999262,97.19780218,75.54212468,Cifras definitivas
43,2008,	01,Durango,95.59001452,86.55686404,90.94286764,94.91689775,86.32014869,Cifras definitivas
43,2008,	01,Guanajuato,87.07476060,84.94462279,79.09103462,101.67598090,80.41658525,Cifras definitivas
43,2008,	01,Guerrero,106.43848393,103.67376034,93.94610128,85.70374037,80.51532273,Cifras definitivas
43,2008,	01,Hidalgo,94.32876511,103.24061551,89.85927316,102.73276071,92.31491207,Cifras definitivas
43,2008,	01,Jalisco,88.98666552,87.51471655,80.29490325,99.63457625,80.00148660,Cifras definitivas
43,2008,	01,México,74.87433953,75.03309682,78.65094536,101.28514357,79.66172293,Cifras definitivas
43,2008,	01,Michoacán de Ocampo,91.72725307,95.47456569,85.96543717,101.97098203,87.65980049,Cifras definitivas
43,2008,	01,Morelos,104.85768530,97.40000666,94.63675851,87.94407846,83.22742516,Cifras definitivas
43,2008,	01,Nayarit,106.99084937,101.45578183,90.54427812,90.91442908,82.31781352,Cifras definitivas
